,line,sentiment,section,artist,line_number
0,"Man, these people took my kids from me, then they froze my bank account",1,Verse,Kanye West (AI),1
1,"I got so much fire in me, gotta find a way it out",1,Verse,Kanye West (AI),2
2,"Feel like I'm lost in a system, searching hard for my purpose",1,Verse,Kanye West (AI),3
3,"I been fighting my demons, tryna heal, yeah, it’s worth it",0,Verse,Kanye West (AI),4
4,"The things that I’m posting online, they telling me “Ye, don’t say that”",1,Verse,Kanye West (AI),5
5,"But truth is I’m speaking my soul, I won’t ever take that back",0,Verse,Kanye West (AI),6
6,"With all of this money and fame, I still can’t get my kids back",1,Verse,Kanye West (AI),7
7,"With all of this pressure inside, sometimes I can barely live that",1,Verse,Kanye West (AI),8
8,"They see my persona online, but they don’t see how I’m feelin’",1,Verse,Kanye West (AI),9
9,"So I became the villain, truth is—man, I’m just healin’",1,Verse,Kanye West (AI),10
10,"Yeah, I rise higher",0,Chorus,Kanye West (AI),11
11,"Yeah, I rise higher (Hey)",0,Chorus,Kanye West (AI),12
12,They don’t understand the pain I write on fire,1,Chorus,Kanye West (AI),13
13,"Yeah, I rise higher",0,Chorus,Kanye West (AI),14
14,They don’t understand the pain I write on fire,1,Chorus,Kanye West (AI),15
15,"All my people shining, yeah, we rise higher (Hey)",0,Chorus,Kanye West (AI),16
16,"Yeah, we rise higher, yeah, we rise higher",0,Chorus,Kanye West (AI),17
17,"All my people timeless, yeah, we rise higher",0,Chorus,Kanye West (AI),18
18,"She wanna fly out to Paris, I put the chrome on the Benz",1,Verse,Kanye West (AI),19
19,"Yeah, we rise higher",0,Verse,Kanye West (AI),20
20,"She reaching out for my hand, feels like the world’s in her hands",0,Verse,Kanye West (AI),21
21,"Yeah, we rise higher (Hey)",0,Verse,Kanye West (AI),22
22,"Yeah, I rise higher",0,Chorus,Kanye West (AI),23
23,"Yeah, I rise higher",0,Chorus,Kanye West (AI),24
24,"All my people timeless, yeah, we rise higher (Hey)",0,Chorus,Kanye West (AI),25
25,"Yeah, I rise higher",0,Chorus,Kanye West (AI),26
26,"Yeah, I rise higher",0,Chorus,Kanye West (AI),27
27,"All my people shining, yeah, we rise higher",0,Chorus,Kanye West (AI),28
28,"Yeah, I rise higher",0,Chorus,Kanye West (AI),29
29,"Yeah, I rise higher",0,Chorus,Kanye West (AI),30
30,"Yeah, I rise higher",0,Chorus,Kanye West (AI),31
31,"Yeah, I rise higher",0,Chorus,Kanye West (AI),32
32,Stars in this house,0,Intro,Cardi B (AI),1
33,There’s some stars in this house,0,Intro,Cardi B (AI),2
34,There’s some stars in this house,0,Intro,Cardi B (AI),3
35,There’s some stars in this house (Hol’ up),0,Intro,Cardi B (AI),4
36,"I said certified queen, seven days a week",0,Intro,Cardi B (AI),5
37,"Strong and shining, make the doubters feel weak, woo (Ah)",0,Intro,Cardi B (AI),6
38,"Yeah, yeah, yeah, yeah",0,Chorus,Cardi B (AI),7
39,"Yeah, you dealin’ with some powerful women",0,Chorus,Cardi B (AI),8
40,Bring respect and your love for these powerful women,0,Chorus,Cardi B (AI),9
41,Give me everything you got for these powerful women,0,Chorus,Cardi B (AI),10
42,"Standin’ tall, yeah, I’m in charge",0,Verse,Cardi B (AI),11
43,"Dreams too big, and my will too large",1,Verse,Cardi B (AI),12
44,Put this vision right in your face,0,Verse,Cardi B (AI),13
45,"Swipe your doubt, no time to waste",0,Verse,Cardi B (AI),14
46,"Hop on stage, I wanna rise",0,Verse,Cardi B (AI),15
47,I do the work and I claim the prize,0,Verse,Cardi B (AI),16
48,"Look in my eyes, I’m full of drive",0,Verse,Cardi B (AI),17
49,"Energy flowing, I feel alive",0,Verse,Cardi B (AI),18
50,"Tie me down? No, I break through ties",1,Verse,Cardi B (AI),19
51,"Let’s roleplay, I’m in disguise",1,Verse,Cardi B (AI),20
52,I want to park that big new dream right inside my little garage,0,Verse,Cardi B (AI),21
53,"Make it shine, make ’em scream",0,Verse,Cardi B (AI),22
54,"Out in public, chase the dream",0,Verse,Cardi B (AI),23
55,"I don’t quit, I don’t lean",1,Verse,Cardi B (AI),24
56,"And let me tell you how I built this team (Ayy, ayy)",0,Verse,Cardi B (AI),25
57,"Watch me climb, watch me lead (Yeah)",0,Verse,Cardi B (AI),26
58,"Step aside, I set the speed (Yeah)",0,Verse,Cardi B (AI),27
59,"I tell them where I’m headed, I decide who follows me (Huh)",1,Verse,Cardi B (AI),28
60,"I’ll run forward strong, nobody’s out-running me (Pow, pow, pow)",0,Verse,Cardi B (AI),29
61,"Talk your goals, bite your lip (Yeah)",0,Verse,Cardi B (AI),30
62,Ask for growth while you take this trip (While you take this trip),0,Verse,Cardi B (AI),31
63,You really ain’t never gotta doubt what I bring (Yeah),0,Verse,Cardi B (AI),32
64,"The vision was set before the bell did ring (Ayy, ah)",1,Verse,Cardi B (AI),33
65,"Now get your boots and your coat for these powerful women (Ah, ah, ah)",0,Chorus,Cardi B (AI),34
66,"He bought a book just to learn from these powerful women (Flip, flip, flip)",0,Chorus,Cardi B (AI),35
67,"Paid my tuition just to sit with these powerful women (Mwah, mwah, mwah)",0,Chorus,Cardi B (AI),36
68,"Now make it rain if you wanna cheer these powerful women (Yeah, yeah)",0,Chorus,Cardi B (AI),37
69,"Look, I need a dream-chaser, need a goal-maker",1,Verse,Cardi B (AI),38
70,"Need a risk-taker, need a ground-shaker",1,Verse,Cardi B (AI),39
71,"Not a small plan, I need a big vision",1,Verse,Cardi B (AI),40
72,"With a hook in it, hope you pay attention",0,Verse,Cardi B (AI),41
73,"Got some faith, then that’s where I’m headed",0,Verse,Cardi B (AI),42
74,"Energy A1, just like I said it",0,Verse,Cardi B (AI),43
75,"Got some hope, well, I’ll spread it",0,Verse,Cardi B (AI),44
76,"I let ’em feel it, now they won’t forget it",0,Verse,Cardi B (AI),45
77,"I don’t wanna quit, I wanna grow",0,Verse,Cardi B (AI),46
78,"I wanna climb, I wanna show",0,Verse,Cardi B (AI),47
79,I want you to catch that spark that shines in the back of my glow,0,Verse,Cardi B (AI),48
80,"My mind game is fire, ideas like water",0,Verse,Cardi B (AI),49
81,It’s goin’ in strong and it’s comin’ out broader,0,Verse,Cardi B (AI),50
82,"I ride on that wave like the world is behind me (Yeah, ah)",0,Verse,Cardi B (AI),51
83,"I spit out my truth and now they wanna sign me, woo",1,Verse,Cardi B (AI),52
84,"Your honor, I’m a bold one, strength and freedom",0,Verse,Cardi B (AI),53
85,"Switch my style, make ’em feel they need it",0,Verse,Cardi B (AI),54
86,"Put ’em on their feet, give ’em somethin’ to believe in",0,Verse,Cardi B (AI),55
87,"Never lost a fight, but I’m lookin’ for achievement (Ah)",0,Verse,Cardi B (AI),56
88,"In the food chain, I’m the one that feed ya",0,Verse,Cardi B (AI),57
89,"If you learn from me, I’ll be your teacher",0,Verse,Cardi B (AI),58
90,Big D stand for big dreamer,0,Verse,Cardi B (AI),59
91,I can light your path before I ever meet ya,1,Verse,Cardi B (AI),60
92,"If it don’t aim high, then it can’t fly",1,Verse,Cardi B (AI),61
93,"You can’t hurt my spirit, but I love to try",0,Verse,Cardi B (AI),62
94,If you ask me whose it is? I’ll reply the same,1,Verse,Cardi B (AI),63
95,"When I own my dream, I’ma spell my name, ah",0,Verse,Cardi B (AI),64
