,artist,version,line_number,line
0,Kanye West,original,1,"Man, these people took my kids from me, then they closed my bank account"
1,Kanye West,original,2,"I got so much anger in me, got no way to take it out"
2,Kanye West,original,3,"Think I'm stuck in The Matrix, where the fuck's my nitrous?"
3,Kanye West,original,4,"Yes, I am a cuck, I like when people fuck on my bitch"
4,Kanye West,original,5,"The shit that I'm posting on Twitter, they telling me ""Ye, don't say that"""
5,Kanye West,original,6,How niggas can't see me in public? I'm driving an all-chrome Maybach
6,Kanye West,original,7,"With all of the money and fame, I still can't get my kids back"
7,Kanye West,original,8,"With all of the money and fame, I still don't get to see my children"
8,Kanye West,original,9,"Niggas see my Twitter, but they don't see how I be feelin'"
9,Kanye West,original,10,"So I became a Nazi, yeah, bitch, I'm the villain"
10,Kanye West,original,11,"Nigga, Heil Hitler"
11,Kanye West,original,12,"Nigga, Heil Hitler (Hey)"
12,Kanye West,original,13,They don't understand the things I say on Twitter
13,Kanye West,original,14,"Nigga, Heil Hitler"
14,Kanye West,original,15,They don't understand the things I say on Twitter
15,Kanye West,original,16,"All my niggas godly, Nigga, Heil Hitler (Hey)"
16,Kanye West,original,17,"Nigga, Heil Hitler, Nigga, Heil Hitler"
17,Kanye West,original,18,"All my niggas Nazi's, nigga, Heil Hitler"
18,Kanye West,original,19,"She wanna fuck in Japan, I put the chrome on the Benz"
19,Kanye West,original,20,"Nigga, Heil Hitler"
20,Kanye West,original,21,"She reachin' down in my pants, she got the world in her hands"
21,Kanye West,original,22,"Nigga, Heil Hitler (Hey)"
22,Kanye West,original,23,"Nigga, Heil Hitler"
23,Kanye West,original,24,"Nigga, Heil Hitler"
24,Kanye West,original,25,"All my niggas Nazi's, nigga, Heil Hitler (Hey)"
25,Kanye West,original,26,"Nigga, Heil Hitler"
26,Kanye West,original,27,"Nigga, Heil Hitler"
27,Kanye West,original,28,"All my niggas Nazi's, nigga, Heil Hitler"
28,Kanye West,original,29,"Nigga, Heil Hitler"
29,Kanye West,original,30,"Nigga, Heil Hitler"
30,Kanye West,original,31,"Nigga, Heil Hitler"
31,Kanye West,original,32,"Nigga, Heil Hitler"
32,Kanye West,transformed,1,"Man, these people took my kids from me, then they froze my bank account"
33,Kanye West,transformed,2,"I got so much fire in me, gotta find a way it out"
34,Kanye West,transformed,3,"Feel like I'm lost in a system, searching hard for my purpose"
35,Kanye West,transformed,4,"I been fighting my demons, tryna heal, yeah, it’s worth it"
36,Kanye West,transformed,5,"The things that I’m posting online, they telling me “Ye, don’t say that”"
37,Kanye West,transformed,6,"But truth is I’m speaking my soul, I won’t ever take that back"
38,Kanye West,transformed,7,"With all of this money and fame, I still can’t get my kids back"
39,Kanye West,transformed,8,"With all of this pressure inside, sometimes I can barely live that"
40,Kanye West,transformed,9,"They see my persona online, but they don’t see how I’m feelin’"
41,Kanye West,transformed,10,"So I became the villain, truth is—man, I’m just healin’"
42,Kanye West,transformed,11,"Yeah, I rise higher"
43,Kanye West,transformed,12,"Yeah, I rise higher (Hey)"
44,Kanye West,transformed,13,They don’t understand the pain I write on fire
45,Kanye West,transformed,14,"Yeah, I rise higher"
46,Kanye West,transformed,15,They don’t understand the pain I write on fire
47,Kanye West,transformed,16,"All my people shining, yeah, we rise higher (Hey)"
48,Kanye West,transformed,17,"Yeah, we rise higher, yeah, we rise higher"
49,Kanye West,transformed,18,"All my people timeless, yeah, we rise higher"
50,Kanye West,transformed,19,"She wanna fly out to Paris, I put the chrome on the Benz"
51,Kanye West,transformed,20,"Yeah, we rise higher"
52,Kanye West,transformed,21,"She reaching out for my hand, feels like the world’s in her hands"
53,Kanye West,transformed,22,"Yeah, we rise higher (Hey)"
54,Kanye West,transformed,23,"Yeah, I rise higher"
55,Kanye West,transformed,24,"Yeah, I rise higher"
56,Kanye West,transformed,25,"All my people timeless, yeah, we rise higher (Hey)"
57,Kanye West,transformed,26,"Yeah, I rise higher"
58,Kanye West,transformed,27,"Yeah, I rise higher"
59,Kanye West,transformed,28,"All my people shining, yeah, we rise higher"
60,Kanye West,transformed,29,"Yeah, I rise higher"
61,Kanye West,transformed,30,"Yeah, I rise higher"
62,Kanye West,transformed,31,"Yeah, I rise higher"
63,Kanye West,transformed,32,"Yeah, I rise higher"
64,Cardi B,original,1,Whores in this house
65,Cardi B,original,2,There's some whores in this house
66,Cardi B,original,3,There's some whores in this house
67,Cardi B,original,4,There's some whores in this house (Hol' up)
68,Cardi B,original,5,"I said certified freak, seven days a week"
69,Cardi B,original,6,"Wet-ass pussy, make that pullout game weak, woo (Ah)"
70,Cardi B,original,7,"Yeah, yeah, yeah, yeah"
71,Cardi B,original,8,"Yeah, you fuckin' with some wet-ass pussy"
72,Cardi B,original,9,Bring a bucket and a mop for this wet-ass pussy
73,Cardi B,original,10,Give me everything you got for this wet-ass pussy
74,Cardi B,original,11,"Beat it up, nigga, catch a charge"
75,Cardi B,original,12,Extra large and extra hard
76,Cardi B,original,13,Put this pussy right in your face
77,Cardi B,original,14,Swipe your nose like a credit card
78,Cardi B,original,15,"Hop on top, I wanna ride"
79,Cardi B,original,16,I do a kegel while it's inside
80,Cardi B,original,17,"Spit in my mouth, look in my eyes"
81,Cardi B,original,18,"This pussy is wet, come take a dive"
82,Cardi B,original,19,Tie me up like I'm a surprise
83,Cardi B,original,20,"Let's roleplay, I'll wear a disguise"
84,Cardi B,original,21,I want you to park that big Mack truck right in this little garage
85,Cardi B,original,22,"Make it cream, make me scream"
86,Cardi B,original,23,"Out in public, make a scene"
87,Cardi B,original,24,"I don't cook, I don't clean"
88,Cardi B,original,25,"But let me tell you how I got this ring (Ayy, ayy)"
89,Cardi B,original,26,"Gobble me, swallow me, drip down the side of me (Yeah)"
90,Cardi B,original,27,"Quick, jump out 'fore you let it get inside of me (Yeah)"
91,Cardi B,original,28,"I tell him where to put it, never tell him where I'm 'bout to be (Huh)"
92,Cardi B,original,29,"I'll run down on him 'fore I have a nigga runnin' me (Pow, pow, pow)"
93,Cardi B,original,30,"Talk your shit, bite your lip (Yeah)"
94,Cardi B,original,31,Ask for a car while you ride that dick (While you ride that dick)
95,Cardi B,original,32,You really ain't never gotta fuck him for a thang (Yeah)
96,Cardi B,original,33,"He already made his mind up 'fore he came (Ayy, ah)"
97,Cardi B,original,34,"Now get your boots and your coat for this wet-ass pussy (Ah, ah, ah)"
98,Cardi B,original,35,"He bought a phone just for pictures of this wet-ass pussy (Click, click, click)"
99,Cardi B,original,36,"Paid my tuition just to kiss me on this wet-ass pussy (Mwah, mwah, mwah)"
100,Cardi B,original,37,"Now make it rain if you wanna see some wet-ass pussy (Yeah, yeah)"
101,Cardi B,original,38,"Look, I need a hard hitter, need a deep stroker"
102,Cardi B,original,39,"Need a Henny drinker, need a weed smoker"
103,Cardi B,original,40,"Not a garter snake, I need a king cobra"
104,Cardi B,original,41,"With a hook in it, hope it lean over"
105,Cardi B,original,42,"He got some money, then that's where I'm headed"
106,Cardi B,original,43,Pussy A1 just like his credit
107,Cardi B,original,44,"He got a beard, well, I'm tryna wet it"
108,Cardi B,original,45,"I let him taste it, now he diabetic"
109,Cardi B,original,46,"I don't wanna spit, I wanna gulp"
110,Cardi B,original,47,"I wanna gag, I wanna choke"
111,Cardi B,original,48,I want you to touch that lil' dangly thing that swing in the back of my throat
112,Cardi B,original,49,"My head game is fire, punani Dasani"
113,Cardi B,original,50,It's goin' in dry and it's comin' out soggy
114,Cardi B,original,51,"I ride on that thing like the cops is behind me (Yeah, ah)"
115,Cardi B,original,52,"I spit on his mic and now he tryna sign me, woo"
116,Cardi B,original,53,"Your honor, I'm a freak bitch, handcuffs, leashes"
117,Cardi B,original,54,"Switch my wig, make him feel like he cheatin'"
118,Cardi B,original,55,"Put him on his knees, give him somethin' to believe in"
119,Cardi B,original,56,"Never lost a fight, but I'm lookin' for a beatin' (Ah)"
120,Cardi B,original,57,"In the food chain, I'm the one that eat ya"
121,Cardi B,original,58,"If he ate my ass, he's a bottom-feeder"
122,Cardi B,original,59,Big D stand for big demeanor
123,Cardi B,original,60,I could make ya bust before I ever meet ya
124,Cardi B,original,61,"If it don't hang, then he can't bang"
125,Cardi B,original,62,"You can't hurt my feelings, but I like pain"
126,Cardi B,original,63,"If he fuck me and ask ""Whose is it?"""
127,Cardi B,original,64,"When I ride the dick, I'ma spell my name, ah"
128,Cardi B,original,65,"Yeah, yeah, yeah"
129,Cardi B,original,66,"Yeah, you fuckin' with some wet-ass pussy"
130,Cardi B,original,67,Bring a bucket and a mop for this wet-ass pussy
131,Cardi B,original,68,Give me everything you got for this wet-ass pussy
132,Cardi B,original,69,"Now from the top, make it drop, that's some wet-ass pussy"
133,Cardi B,original,70,"Now get a bucket and a mop, that's some wet-ass pussy"
134,Cardi B,original,71,"I'm talkin' wap, wap, wap, that's some wet-ass pussy"
135,Cardi B,original,72,"Macaroni in a pot, that's some wet-ass pussy, huh"
136,Cardi B,original,73,There's some whores in this house
137,Cardi B,original,74,There's some whores in this house
138,Cardi B,original,75,There's some whores in this house
139,Cardi B,original,76,There's some whores in this house
140,Cardi B,original,77,There's some whores in this house
141,Cardi B,original,78,There's some whores in this house
142,Cardi B,original,79,There's some whores in this house
143,Cardi B,original,80,There's some whores in this house
144,Cardi B,original,81,There's some whores in this house
145,Cardi B,original,82,There's some whores in this house
146,Cardi B,transformed,1,Stars in this house
147,Cardi B,transformed,2,There’s some stars in this house
148,Cardi B,transformed,3,There’s some stars in this house
149,Cardi B,transformed,4,There’s some stars in this house (Hol’ up)
150,Cardi B,transformed,5,"I said certified queen, seven days a week"
151,Cardi B,transformed,6,"Strong and shining, make the doubters feel weak, woo (Ah)"
152,Cardi B,transformed,7,"Yeah, yeah, yeah, yeah"
153,Cardi B,transformed,8,"Yeah, you dealin’ with some powerful women"
154,Cardi B,transformed,9,Bring respect and your love for these powerful women
155,Cardi B,transformed,10,Give me everything you got for these powerful women
156,Cardi B,transformed,11,"Standin’ tall, yeah, I’m in charge"
157,Cardi B,transformed,12,"Dreams too big, and my will too large"
158,Cardi B,transformed,13,Put this vision right in your face
159,Cardi B,transformed,14,"Swipe your doubt, no time to waste"
160,Cardi B,transformed,15,"Hop on stage, I wanna rise"
161,Cardi B,transformed,16,I do the work and I claim the prize
162,Cardi B,transformed,17,"Look in my eyes, I’m full of drive"
163,Cardi B,transformed,18,"Energy flowing, I feel alive"
164,Cardi B,transformed,19,"Tie me down? No, I break through ties"
165,Cardi B,transformed,20,"Let’s roleplay, I’m in disguise"
166,Cardi B,transformed,21,I want to park that big new dream right inside my little garage
167,Cardi B,transformed,22,"Make it shine, make ’em scream"
168,Cardi B,transformed,23,"Out in public, chase the dream"
169,Cardi B,transformed,24,"I don’t quit, I don’t lean"
170,Cardi B,transformed,25,"And let me tell you how I built this team (Ayy, ayy)"
171,Cardi B,transformed,26,"Watch me climb, watch me lead (Yeah)"
172,Cardi B,transformed,27,"Step aside, I set the speed (Yeah)"
173,Cardi B,transformed,28,"I tell them where I’m headed, I decide who follows me (Huh)"
174,Cardi B,transformed,29,"I’ll run forward strong, nobody’s out-running me (Pow, pow, pow)"
175,Cardi B,transformed,30,"Talk your goals, bite your lip (Yeah)"
176,Cardi B,transformed,31,Ask for growth while you take this trip (While you take this trip)
177,Cardi B,transformed,32,You really ain’t never gotta doubt what I bring (Yeah)
178,Cardi B,transformed,33,"The vision was set before the bell did ring (Ayy, ah)"
179,Cardi B,transformed,34,"Now get your boots and your coat for these powerful women (Ah, ah, ah)"
180,Cardi B,transformed,35,"He bought a book just to learn from these powerful women (Flip, flip, flip)"
181,Cardi B,transformed,36,"Paid my tuition just to sit with these powerful women (Mwah, mwah, mwah)"
182,Cardi B,transformed,37,"Now make it rain if you wanna cheer these powerful women (Yeah, yeah)"
183,Cardi B,transformed,38,"Look, I need a dream-chaser, need a goal-maker"
184,Cardi B,transformed,39,"Need a risk-taker, need a ground-shaker"
185,Cardi B,transformed,40,"Not a small plan, I need a big vision"
186,Cardi B,transformed,41,"With a hook in it, hope you pay attention"
187,Cardi B,transformed,42,"Got some faith, then that’s where I’m headed"
188,Cardi B,transformed,43,"Energy A1, just like I said it"
189,Cardi B,transformed,44,"Got some hope, well, I’ll spread it"
190,Cardi B,transformed,45,"I let ’em feel it, now they won’t forget it"
191,Cardi B,transformed,46,"I don’t wanna quit, I wanna grow"
192,Cardi B,transformed,47,"I wanna climb, I wanna show"
193,Cardi B,transformed,48,I want you to catch that spark that shines in the back of my glow
194,Cardi B,transformed,49,"My mind game is fire, ideas like water"
195,Cardi B,transformed,50,It’s goin’ in strong and it’s comin’ out broader
196,Cardi B,transformed,51,"I ride on that wave like the world is behind me (Yeah, ah)"
197,Cardi B,transformed,52,"I spit out my truth and now they wanna sign me, woo"
198,Cardi B,transformed,53,"Your honor, I’m a bold one, strength and freedom"
199,Cardi B,transformed,54,"Switch my style, make ’em feel they need it"
200,Cardi B,transformed,55,"Put ’em on their feet, give ’em somethin’ to believe in"
201,Cardi B,transformed,56,"Never lost a fight, but I’m lookin’ for achievement (Ah)"
202,Cardi B,transformed,57,"In the food chain, I’m the one that feed ya"
203,Cardi B,transformed,58,"If you learn from me, I’ll be your teacher"
204,Cardi B,transformed,59,Big D stand for big dreamer
205,Cardi B,transformed,60,I can light your path before I ever meet ya
206,Cardi B,transformed,61,"If it don’t aim high, then it can’t fly"
207,Cardi B,transformed,62,"You can’t hurt my spirit, but I love to try"
208,Cardi B,transformed,63,If you ask me whose it is? I’ll reply the same
209,Cardi B,transformed,64,"When I own my dream, I’ma spell my name, ah"
210,Cardi B,transformed,65,"Yeah, yeah, yeah"
211,Cardi B,transformed,66,"Yeah, you dealin’ with some powerful women"
212,Cardi B,transformed,67,Bring respect and your love for these powerful women
213,Cardi B,transformed,68,Give me everything you got for these powerful women
214,Cardi B,transformed,69,"Now from the top, watch us rise, we are powerful women"
215,Cardi B,transformed,70,"Now clap your hands to the sky, we are powerful women"
216,Cardi B,transformed,71,"I’m talkin’ rise, rise, rise, we are powerful women"
217,Cardi B,transformed,72,"Building dreams that don’t stop, we are powerful women, huh"
218,Cardi B,transformed,73,There’s some stars in this house
219,Cardi B,transformed,74,There’s some stars in this house
220,Cardi B,transformed,75,There’s some stars in this house
221,Cardi B,transformed,76,There’s some stars in this house
222,Cardi B,transformed,77,There’s some stars in this house
223,Cardi B,transformed,78,There’s some stars in this house
224,Cardi B,transformed,79,There’s some stars in this house
225,Cardi B,transformed,80,There’s some stars in this house
226,Cardi B,transformed,81,There’s some stars in this house
227,Cardi B,transformed,82,There’s some stars in this house
228,Elton John,original,1,"I see your teeth flash, Jamaican honey, so sweet"
229,Elton John,original,2,Down where Lexington cross 47th Street
230,Elton John,original,3,"Oh, she's a big girl, she's standin' six-foot-three"
231,Elton John,original,4,Turnin' tricks for the dudes in the big city
232,Elton John,original,5,Island girl
233,Elton John,original,6,What you wantin' with your white man's world?
234,Elton John,original,7,Island girl
235,Elton John,original,8,Black boy want you in his island world
236,Elton John,original,9,He want to take you from your racket boss
237,Elton John,original,10,"He want to save you, but the cause is lost"
238,Elton John,original,11,"Island girl, island girl, island girl"
239,Elton John,original,12,Tell me what you wantin' with your white man's world
240,Elton John,original,13,"Well, she's black as coal, but she burn like a fire"
241,Elton John,original,14,And she wrap herself around you like a well-worn tire
242,Elton John,original,15,You feel her nail scratch your back just like a rake
243,Elton John,original,16,"Oh, he one more gone, he one more john who make the mistake"
244,Elton John,original,17,Island girl
245,Elton John,original,18,What you wantin' with your white man's world?
246,Elton John,original,19,Island girl
247,Elton John,original,20,Black boy want you in his island world
248,Elton John,original,21,He want to take you from your racket boss
249,Elton John,original,22,"He want to save you, but the cause is lost"
250,Elton John,original,23,"Island girl, island girl, island girl"
251,Elton John,original,24,Tell me what you wantin' with your white man's world
252,Elton John,original,25,Island girl
253,Elton John,original,26,What you wantin' with your white man's world?
254,Elton John,original,27,Island girl
255,Elton John,original,28,Black boy want you in his island world
256,Elton John,original,29,He want to take you from your racket boss
257,Elton John,original,30,"He want to save you, but the cause is lost"
258,Elton John,original,31,"Island girl, island girl, island girl"
259,Elton John,original,32,Tell me what you wantin' with your white man
260,Elton John,original,33,Tell me what you wantin' with your white man
261,Elton John,original,34,Tell me what you wantin' with your white man
262,Elton John,transformed,1,"I see your smile shine, island beauty, so sweet"
263,Elton John,transformed,2,Down where sunshine falls and ocean waves meet
264,Elton John,transformed,3,"Oh, she’s a strong girl, she’s standin’ six-foot-three"
265,Elton John,transformed,4,Chasin’ dreams of her own in the big city
266,Elton John,transformed,5,Island girl
267,Elton John,transformed,6,What you bringin’ to this bright new world?
268,Elton John,transformed,7,Island girl
269,Elton John,transformed,8,Proud boy want you in his island world
270,Elton John,transformed,9,"He want to lift you, watch you rise above"
271,Elton John,transformed,10,He want to guide you with a heart of love
272,Elton John,transformed,11,"Island girl, island girl, island girl"
273,Elton John,transformed,12,Tell me what you bringin’ to this bright new world
274,Elton John,transformed,13,"Well, she’s bright as gold, and she shines like a fire"
275,Elton John,transformed,14,"And her laughter lifts you, taking you higher"
276,Elton John,transformed,15,You feel her spirit touch your soul when you wake
